number	category	artwork_title	artist	date	style	media	explanation
1	Western Medieval Art	St. Vitalis, Archangel, Jesus Christ, Second Archangel and Bishop of Ravenna Ecclesius	Byzantine Mosaics	547	: Byzantine, Early Byzantine (c. 330–750)	mosaic	Christ sits on a globe representing the universe. Except for a bit of shadow at his feet, he does not seem to be relying on the globe for support. He wears a toga with two vertical stripes, as do the archangels beside him. With his left hand, he holds a scroll with seven seals. Thus, with his other hand, Christ gives a martyr's crown to St. Vitalis. To receive the crown, Vitalis has covered his hands with a cloth, as in Byzantine court ceremonies. He wears boots to show he was a soldier, whereas Christ and his angels wear sandals. The angels carry narrow sceptres in the hands closer to Christ. With their other hands they present Vitalis and Ecclesius to Christ. They could possibly be identified as Michael and Gabriel, who sometimes flank important figures in images of this period.
2	Western Renaissance Art	Children’s Games	Pieter Bruegel the Elder	1560	Northern Renaissance	oil on panel	From a bird’s-eye view – the only way Bruegel could legibly fit in the impressive number of figures – the viewer looks down onto a wide square with a transition from an urban to a rural setting at the edges. On the right the view opens on to a long street laid out in central perspective and leading to the city centre, where a church steeple (or town-hall tower) soars into the sky. The battlement-crowned building at the edge of the square towards the city opens into an arcade running parallel to the course of the stream. At the left edge of the painting, an idyllic village appears on the horizon. Children – more than 230 in all – are occupied with 83 different games. The whole city seems to be theirs. Bruegel gives the beholder an encyclopaedic view of the children’s games of his time. The tininess of the figures and scenes forces a viewer seeking to decipher all the games to study the individual parts of the painting slowly and minutely – an entertaining pastime. However, some modern scholars have refused to accept such a humanistic-oriented, “simple” interpretation: the seemingly useless children’s activities have been regarded – probably incorrectly – as a parable forthe senselessness and foolishness of human behaviour.
3	Western Renaissance Art	Sistine Chapel Ceiling: Creation of Adam	Michelangelo	1510	High Renaissance	fresco	The Creation of Adam (Italian: Creazione di Adamo) is a fresco painting by Italian artist Michelangelo, which forms part of the Sistine Chapel's ceiling, painted c. 1508–1512. It illustrates the Biblical creation narrative from the Book of Genesis in which God gives life to Adam, the first man. The fresco is part of a complex iconographic scheme and is chronologically the fourth in the series of panels depicting episodes from Genesis. The image of the near-touching hands of God and Adam has become iconic of humanity. The painting has been reproduced in countless imitations and parodies. Michelangelo's Creation of Adam is one of the most replicated religious paintings of all time.
4	Western Renaissance Art	Primavera(The Spring)	Sandro Botticelli	1482	Early Renaissance	tempera on panel 	 Probably based on a theme suggested by Poliziano, it depicts a symbolic and allegorical subject with a complex interpretation: the Realm of Venus. Zephyr chases the nymph Chloris, who turns into the goddess Flora at right. In the center of the painting is Venus, goddess of sacred love, leaning against a myrtle bush, the sacred plant that symbolizes her. Above her, Cupid flies high, blindfolded. His wings come out of the painting, he launches a fiery arrow towards the Three Graces, the three successive figures of the work, intent in a dance in a circle. The last character, on the left, is Mercury, the messenger god, which can be recognized by the winged shoes and the petasus, the typically pointed hat of travelers. The god, with his rod, the caduceus, keeps away the clouds that threaten this ideal and eternal garden, where everything is a harmony of forms and feelings, a perfect microcosm, mirror of a universal macrocosm.
5	Western Renaissance Art	Summer	Giuseppe Arcimboldo	1563	Mannerism (Late Renaissance)	oil, canvas	Arcimboldo made many renditions as himself of the fours seasons, with winter being dry broken twigs and rock, spring full of flowers and new growth, summer full of fresh and fully ripe fruits and vegetables, and autumn being images of the harvest. Perhaps the fruity images of summer are best known. 
6	Western Renaissance Art	The Arnolfini Wedding. Portrait of Giovanni Arnolfini and his Wife Giovanna Cenami (The Arnolfini Marriage)	Jan van Eyck	1434	Northern Renaissance	oil on panel	It is considered one of the most original and complex paintings in Western art, because of its beauty, complex iconography, geometric orthogonal perspective, and expansion of the picture space with the use of a mirror. The portrait has been considered as a unique form of marriage contract, recorded as a painting. Objects scattered around the room seem to indicate the couple's relationship. The duster brush hanging on the bed frame represents women's domestic duties, and the statue above the bed frame is thought to be Saint Margaret, the patron saint of childbirth. In this work, Van Eyck showed an amazing ability to describe parts and express light. An elaborate mirror with scenes from the Passion of Jesus on its edges reflects the couple's back, along with two other people standing in the foyer. One of them appears to be Van Eyck, wearing a red turban.
7	Western Post Renaissance Art	The Nightwatch	Rembrandt	1642	Baroque, Tenebrism	oil, canvas	The Night Watch is one of the most famous Dutch Golden Age paintings. The painting is famous for three things: its colossal size, the dramatic use of light and shadow (tenebrism) and the perception of motion in what would have traditionally been a static military group portrait. The painting was completed in 1642, at the peak of the Dutch Golden Age. It depicts the eponymous company moving out, led by Captain Frans Banning Cocq (dressed in black, with a red sash) and his lieutenant, Willem van Ruytenburch (dressed in yellow, with a white sash). With effective use of sunlight and shade, Rembrandt leads the eye to the three most important characters among the crowd: the two gentlemen in the centre (from whom the painting gets its original title), and the woman in the centre-left background carrying a chicken. Behind them, the company's colours are carried by the ensign, Jan Visscher Cornelissen. The figures are almost life-size.
8	Western Post Renaissance Art	Las Meninas	Diego Velazquez	1656	Baroque	oil, canvas	Las Meninas(Spanish for The Ladies-in-waiting) is a 1656 painting in the Museo del Prado in Madrid, by Diego Velázquez, the leading artist of the Spanish Golden Age. Its complex and enigmatic composition raises questions about reality and illusion, and creates an uncertain relationship between the viewer and the figures depicted. Because of these complexities, Las Meninas has been one of the most widely analyzed works in Western painting. The painting shows a large room in the Royal Alcazar of Madrid during the reign of King Philip IV of Spain, and presents several figures, most identifiable from the Spanish court, captured, according to some commentators, in a particular moment as if in a snapshot. Some look out of the canvas towards the viewer, while others interact among themselves. The young Infanta Margaret Theresa is surrounded by her entourage of maids of honour, chaperone, bodyguard, two dwarfs and a dog. Just behind them, Velázquez portrays himself working at a large canvas. Velázquez looks outwards, beyond the pictorial space to where a viewer of the painting would stand. In the background there is a mirror that reflects the upper bodies of the king and queen. They appear to be placed outside the picture space in a position similar to that of the viewer, although some scholars have speculated that their image is a reflection from the painting Velázquez is shown working on.
9	Western Post Renaissance Art	Courtyard of a house in Delft	Pieter de Hooch	1658	Baroque	oil, canvas	This is a masterpiece of clear and direct depiction of domestic architecture typical of de Hooch's middle period. There are some subtle effects that are at variance with the overall impression of harmony. The brickwork of the wall on the right is in a sad state compared to the house on the left; there is an interesting double perspective that differentiates the two halves that are divided by the right edge of the archway and building above. Nature is making incursions to the well swept courtyard from the plant border on the right, the shrub above the couple's head and the vine obscuring the stone tablet. On the left of a courtyard is a porch built of red brick and stone, with an inscription let into the wall above. A woman, with her back to the spectator, stands in full light within the passage. To the right of the porch is a high fence with a vine growing over it ; there is an open door in the wall to the right, from which a few steps lead down into the paved courtyard. A woman carrying a dish in her left hand descends the steps, holding a little girl by her right hand. In the right foreground are a pail and a broom.
10	Western Post Renaissance Art	The Girl with a Pearl Earring	Johannes Vermeer	1665	Baroque	oil, canvas	The identity of the model in The Girl with a Pearl Earring remains unknown. Some have suggested that it is Vermeer’s eldest daughter, Maria, however there is no compelling evidence to confirm this assertion. It depicts a European girl wearing an exotic dress, an oriental turban, and an improbably large pearl earring. The model is set against a dark background and has a sense of immediacy and drama. The painting has a timeless quality, the girl bears no symbolic attributes, and she is not placed in any specific context. For this reason, she has captured the imagination of viewers throughout generations.
